sample	time	fq1	fq2
D02483	T1	data/raw_fq/SRR17271939_1.fastq	data/raw_fq/SRR17271939_2.fastq
D02482	T1	data/raw_fq/SRR17271940_1.fastq	data/raw_fq/SRR17271940_2.fastq
D02447	T1	data/raw_fq/SRR17271941_1.fastq	data/raw_fq/SRR17271941_2.fastq
D02366	T1	data/raw_fq/SRR17271942_1.fastq	data/raw_fq/SRR17271942_2.fastq
D03728	T1	data/raw_fq/SRR17271943_1.fastq	data/raw_fq/SRR17271943_2.fastq
D03631	T1	data/raw_fq/SRR17271944_1.fastq	data/raw_fq/SRR17271944_2.fastq
D02365	T1	data/raw_fq/SRR17271945_1.fastq	data/raw_fq/SRR17271945_2.fastq
D03265	T1	data/raw_fq/SRR17271946_1.fastq	data/raw_fq/SRR17271946_2.fastq
D03083	T2	data/raw_fq/SRR17271947_1.fastq	data/raw_fq/SRR17271947_2.fastq
D03083	T1	data/raw_fq/SRR17271948_1.fastq	data/raw_fq/SRR17271948_2.fastq
D02977	T2	data/raw_fq/SRR17271949_1.fastq	data/raw_fq/SRR17271949_2.fastq
D02977	T1	data/raw_fq/SRR17271950_1.fastq	data/raw_fq/SRR17271950_2.fastq
D02976	T2	data/raw_fq/SRR17271951_1.fastq	data/raw_fq/SRR17271951_2.fastq
D02976	T1	data/raw_fq/SRR17271952_1.fastq	data/raw_fq/SRR17271952_2.fastq
D02770	T1	data/raw_fq/SRR17271953_1.fastq	data/raw_fq/SRR17271953_2.fastq
D02741	T2	data/raw_fq/SRR17271954_1.fastq	data/raw_fq/SRR17271954_2.fastq
D02741	T1	data/raw_fq/SRR17271955_1.fastq	data/raw_fq/SRR17271955_2.fastq
D02354	T1	data/raw_fq/SRR17271956_1.fastq	data/raw_fq/SRR17271956_2.fastq
D02640	T2	data/raw_fq/SRR17271957_1.fastq	data/raw_fq/SRR17271957_2.fastq
D02640	T1	data/raw_fq/SRR17271958_1.fastq	data/raw_fq/SRR17271958_2.fastq
D02543	T2	data/raw_fq/SRR17271959_1.fastq	data/raw_fq/SRR17271959_2.fastq
D02543	T1	data/raw_fq/SRR17271960_1.fastq	data/raw_fq/SRR17271960_2.fastq
D02386	T2	data/raw_fq/SRR17271961_1.fastq	data/raw_fq/SRR17271961_2.fastq
D02386	T1	data/raw_fq/SRR17271962_1.fastq	data/raw_fq/SRR17271962_2.fastq
D02292	T2	data/raw_fq/SRR17271963_1.fastq	data/raw_fq/SRR17271963_2.fastq
D02292	T1	data/raw_fq/SRR17271964_1.fastq	data/raw_fq/SRR17271964_2.fastq
D02269	T2	data/raw_fq/SRR17271965_1.fastq	data/raw_fq/SRR17271965_2.fastq
D02269	T1	data/raw_fq/SRR17271966_1.fastq	data/raw_fq/SRR17271966_2.fastq
D02353	T1	data/raw_fq/SRR17271967_1.fastq	data/raw_fq/SRR17271967_2.fastq
D02267	T1	data/raw_fq/SRR17271968_1.fastq	data/raw_fq/SRR17271968_2.fastq
D02219	T2	data/raw_fq/SRR17271969_1.fastq	data/raw_fq/SRR17271969_2.fastq
D02219	T1	data/raw_fq/SRR17271970_1.fastq	data/raw_fq/SRR17271970_2.fastq
D02154	T2	data/raw_fq/SRR17271971_1.fastq	data/raw_fq/SRR17271971_2.fastq
D02154	T1	data/raw_fq/SRR17271972_1.fastq	data/raw_fq/SRR17271972_2.fastq
D04390	T1	data/raw_fq/SRR17271973_1.fastq	data/raw_fq/SRR17271973_2.fastq
D04081	T1	data/raw_fq/SRR17271974_1.fastq	data/raw_fq/SRR17271974_2.fastq
D03520	T1	data/raw_fq/SRR17271975_1.fastq	data/raw_fq/SRR17271975_2.fastq
D03345	T1	data/raw_fq/SRR17271976_1.fastq	data/raw_fq/SRR17271976_2.fastq
D03291	T1	data/raw_fq/SRR17271977_1.fastq	data/raw_fq/SRR17271977_2.fastq
D02348	T1	data/raw_fq/SRR17271978_1.fastq	data/raw_fq/SRR17271978_2.fastq
D03213	T1	data/raw_fq/SRR17271979_1.fastq	data/raw_fq/SRR17271979_2.fastq
D03078	T1	data/raw_fq/SRR17271980_1.fastq	data/raw_fq/SRR17271980_2.fastq
D02942	T1	data/raw_fq/SRR17271981_1.fastq	data/raw_fq/SRR17271981_2.fastq
D02493	T1	data/raw_fq/SRR17271982_1.fastq	data/raw_fq/SRR17271982_2.fastq
D02489	T1	data/raw_fq/SRR17271983_1.fastq	data/raw_fq/SRR17271983_2.fastq
D02488	T1	data/raw_fq/SRR17271984_1.fastq	data/raw_fq/SRR17271984_2.fastq
D02487	T1	data/raw_fq/SRR17271985_1.fastq	data/raw_fq/SRR17271985_2.fastq
D02486	T1	data/raw_fq/SRR17271986_1.fastq	data/raw_fq/SRR17271986_2.fastq
D02485	T1	data/raw_fq/SRR17271987_1.fastq	data/raw_fq/SRR17271987_2.fastq
D02484	T1	data/raw_fq/SRR17271988_1.fastq	data/raw_fq/SRR17271988_2.fastq
D02318	T1	data/raw_fq/SRR17271989_1.fastq	data/raw_fq/SRR17271989_2.fastq
D02293	T1	data/raw_fq/SRR17271990_1.fastq	data/raw_fq/SRR17271990_2.fastq
